number,status,play number,score,year,topic
791,12,6026.7w,8.4,2017,2
792,12,2257.4w,,2017,2
793,1,4308.7w,7.9,2017,2
794,16,2.7y,8.1,2017,2
795,22,4527.4w,7.2,2017,2
796,15,7400.5w,7.3,2017,2
797,20,2.2y,7.4,2017,2
798,16,2.6y,8.1,2017,2
799,,6619.8w,7.2,2017,2
800,,321.0w,7.2,2017,2
801,,4894.0w,7.2,2017,2
802,15,5324.7w,8.2,2017,2
803,,3745.1w,7.2,2017,2
804,15,4750.0w,7.2,2017,2
805,,527.9w,7.2,2017,2
806,12,3527.6w,7.2,2017,2
807,20,2196.9w,6.8,2017,2
808,,2017.7w,6,2017,2
809,12,983.8w,7.1,2017,2
810,,1.4y,7.4,2017,2
811,24,666.2w,7.1,2017,2
812,,5739.0w,7.3,2017,2
813,35,792.9w,7.2,2017,2
814,,6849.9w,7.2,2017,2
815,,3709.5w,7.2,2017,2
816,,176.3w,8.9,2017,2
817,,1.8y,7.2,2017,2
818,,2321.7w,7.1,2017,2
819,,1317.9w,8.9,2017,2
820,,81.6w,6.1,2017,2
821,,1228.4w,7.1,2017,2
822,,1.4y,7.1,2017,2
823,,133.7w,8,2017,2
824,,154.2w,8,2017,2
825,42,4.7y,6.4,2016,2
826,21,59.8y,8.9,2016,2
827,21,27.2y,8.4,2016,2
828,16,9.8y,8.8,2016,2
829,34,10.9y,9.3,2016,2
830,42,3.2y,7.5,2016,2
831,18,22.3y,7,2016,2
832,71,15.5y,7.1,2016,2
833,28,26.1y,7.3,2016,2
834,43,27.2y,6.6,2016,2
835,17,5.2y,7.5,2016,2
836,44,16.3y,8.9,2016,2
837,33,3.3y,8.5,2016,2
838,35,5.4y,6.6,2016,2
839,12,5.7y,8.5,2016,2
840,28,34.3y,8.6,2016,2
841,30,16.8y,7.7,2016,2
842,45,4.4y,,2016,2
843,40,16.4y,7.3,2016,2
844,16,4.3y,9.3,2016,2
845,10,3.5y,9.5,2016,2
846,43,8.0y,6.3,2016,2
847,40,9.8y,6.7,2016,2
848,45,4.0y,7.3,2016,2
849,10,1.7y,9.1,2016,2
850,44,5.1y,7.9,2016,2
851,43,5.5y,8.4,2016,2
852,16,8445.0w,9.4,2016,2
853,32,2.7y,8,2016,2
854,3,8911.6w,8.9,2016,2
855,40,4.0y,7.5,2016,2
856,42,6.3y,7.5,2016,2
857,47,4643.8w,7.4,2016,2
858,24,6.2y,7.6,2016,2
859,12,6947.3w,8,2016,2
860,16,21.1y,7.5,2016,2
861,,228.4w,8.6,2016,2
862,10,1.0y,7.3,2016,2
863,2,8970.5w,8.3,2016,2
864,20,8747.6w,8.4,2016,2
865,42,1.8y,7.9,2016,2
866,16,1.1y,7.6,2016,2
867,26,2601.1w,9,2016,2
868,25,8010.4w,7.9,2016,2
869,200,4230.5w,7.3,2016,2
870,12,2931.5w,7.5,2016,2
871,2,1.7y,7.3,2016,2
872,69,5732.7w,6.8,2016,2
873,16,1.7y,7.4,2016,2
874,12,4.5y,7.3,2016,2
875,7,5417.7w,7.7,2016,2
876,1,846.4w,8.4,2016,2
877,3,1884.1w,8.7,2016,2
878,30,5485.3w,7.3,2016,2
879,14,3301.8w,7.1,2016,2
880,24,6445.9w,7.3,2016,2
881,42,7214.9w,7.7,2016,2
882,10,766.6w,9.1,2016,2
883,3,1271.5w,8.4,2016,2
884,26,982.2w,7.7,2016,2
885,30,6270.5w,8.2,2016,2
886,16,5.5y,7.2,2016,2
887,20,3.3y,8.3,2016,2
888,10,1836.9w,7.2,2016,2
889,4,587.0w,8.2,2016,2
890,12,2.1y,7.2,2016,2
891,1,934.2w,8.5,2016,2
892,19,1667.5w,7.2,2016,2
893,9,320.3w,9.1,2016,2
894,1,206.7w,8.3,2016,2
895,12,3224.8w,7.1,2016,2
896,12,1.1y,7.1,2016,2
897,,1.5y,7.1,2016,2
898,6,274.6w,7.1,2016,2
899,,3.9y,7,2016,2
900,,362.9w,7.1,2016,2
901,,8130.9w,7.3,2016,2
902,,4486.0w,8.6,2016,2
903,,864.4w,8.4,2016,2
904,,8270.7w,6.5,2016,2
905,,1447.6w,9.1,2016,2
906,12,598.7w,7,2016,2
907,,1152.9w,8.1,2016,2
908,,1187.1w,7.2,2016,2
909,38,8.6y,8.6,2015,2
910,56,5.2y,9.2,2015,2
911,34,2.3y,7,2015,2
912,34,3.7y,7.5,2015,2
913,72,2.7y,6.8,2015,2
914,33,17.1y,8.3,2015,2
915,41,9.6y,8.8,2015,2
916,36,1.0y,7.6,2015,2
917,11,4.4y,7,2015,2
918,60,4.4y,7.6,2015,2
919,10,7806.3w,8.7,2015,2
920,38,10.8y,7.4,2015,2
921,26,1.6y,8,2015,2
922,8,1.8y,7.3,2015,2
923,10,2211.3w,8.8,2015,2
924,10,4269.8w,8.4,2015,2
925,10,895.6w,9.1,2015,2
926,8,1946.3w,8.5,2015,2
927,12,3619.6w,7.2,2015,2
928,,314.7w,8.9,2015,2
929,10,572.4w,8.8,2015,2
930,10,1.2y,7.8,2015,2
931,6,1013.6w,7.6,2015,2
932,10,308.0w,9.1,2015,2
933,3,312.0w,8.1,2015,2
934,8,1047.3w,8.1,2015,2
935,2,9011.4w,7.1,2015,2
936,12,3713.3w,7.2,2015,2
937,5,568.7w,7.1,2015,2
938,10,2503.6w,7.1,2015,2
939,6,462.4w,8.6,2015,2
940,12,2226.9w,7.1,2015,2
941,,2216.5w,8.3,2015,2
942,12,7710.2w,7.1,2015,2
943,16,4385.4w,7.1,2015,2
944,,747.7w,9.1,2015,2
945,,402.9w,7.9,2015,2
946,,108.2w,7.6,2015,2
947,,366.3w,7.7,2015,2
948,,23.2w,8.7,2015,2
949,44,10.1y,8.4,2014,2
950,24,2.9y,8.5,2014,2
951,46,6.3y,7.9,2014,2
952,60,6.7y,8.8,2014,2
953,46,7.8y,8.9,2014,2
954,48,3.3y,9,2014,2
955,34,1.9y,8.5,2014,2
956,10,1.8y,9.5,2014,2
957,46,30.9y,8.4,2014,2
958,2,1.1y,7.3,2014,2
959,40,6.3y,7.2,2014,2
960,37,1.2y,,2014,2
961,8,2304.1w,9.3,2014,2
962,13,2702.3w,8.2,2014,2
963,10,1.2y,7.4,2014,2
964,10,1834.1w,8.8,2014,2
965,10,1980.3w,9,2014,2
966,8,1451.5w,9.1,2014,2
967,60,4.3y,7.4,2014,2
968,20,2670.8w,7.2,2014,2
969,10,2077.8w,8.5,2014,2
970,10,2565.9w,8.3,2014,2
971,7,1198.4w,8.8,2014,2
972,36,1314.8w,6.8,2014,2
973,4,227.1w,9.2,2014,2
974,10,285.1w,8.7,2014,2
975,6,270.4w,9.2,2014,2
976,12,220.4w,8.8,2014,2
977,,3509.4w,7.2,2014,2
978,,9160.0w,8.2,2014,2
979,4,740.3w,7.3,2014,2
980,10,445.7w,8.7,2014,2
981,12,1462.7w,,2014,2
982,10,1221.1w,,2014,2
983,3,592.4w,8.4,2014,2
984,8,91.7w,8.9,2014,2
985,10,173.5w,9.1,2014,2
986,12,2553.6w,7.2,2014,2
987,7,167.6w,8.5,2014,2
988,,281.0w,7.7,2014,2
989,1,77.2w,7.1,2014,2
990,,3608.0w,8,2014,2
991,,346.9w,7.5,2014,2
992,,48.6w,8.2,2014,2
993,,1600.7w,7.6,2014,2
994,,15.4w,9.1,2014,2
995,,352.2w,7.8,2014,2
996,,34.0w,8.4,2014,2
997,,566.8w,7.1,2014,2
998,,93.0w,7,2014,2
999,38,5.1y,9.1,2013,2
1000,51,2.6y,9.4,2013,2
1001,44,3.3y,8.5,2013,2
1002,62,6.0y,8.5,2013,2
1003,60,17.1y,6.8,2013,2
1004,46,22.4y,8.3,2013,2
1005,38,18.1y,8.1,2013,2
1006,39,1.2y,7.5,2013,2
1007,108,17.8y,6.6,2013,2
1008,10,1.8y,9.5,2013,2
1009,30,3.8y,7.9,2013,2
1010,40,2.1y,8.6,2013,2
1011,41,7882.5w,,2013,2
1012,30,1.6y,7.6,2013,2
1013,39,2054.9w,8,2013,2
1014,5,902.6w,8.6,2013,2
1015,100,1.8y,8,2013,2
1016,10,3184.1w,9,2013,2
1017,13,2827.9w,8.2,2013,2
1018,10,3156.0w,8.6,2013,2
1019,38,1.2y,8.7,2013,2
1020,40,2.0y,6.5,2013,2
1021,,1701.6w,8.1,2013,2
1022,6,1313.2w,8.9,2013,2
1023,10,259.8w,8.7,2013,2
1024,,2226.7w,8.1,2013,2
1025,10,356.9w,8.7,2013,2
1026,24,4409.8w,7.3,2013,2
1027,9,280.0w,9.1,2013,2
1028,18,578.4w,8.6,2013,2
1029,3,182.2w,8.2,2013,2
1030,5,283.7w,8.4,2013,2
1031,,1187.2w,8.7,2013,2
1032,10,477.8w,8.4,2013,2
1033,6,456.1w,8.4,2013,2
1034,10,158.9w,9,2013,2
1035,6,128.0w,8.1,2013,2
1036,20,1.1y,7.3,2013,2
1037,15,455.5w,8.2,2013,2
1038,,844.6w,7.5,2013,2
1039,,113.1w,7.7,2013,2
1040,1,34.3w,7,2013,2
1041,,213.4w,8.3,2013,2
1042,,244.3w,7.3,2013,2
1043,,24.8w,8.6,2013,2
1044,,624.8w,7,2013,2
1045,,133.2w,8.3,2013,2
1046,24,14.7y,8.5,2012,2
1047,56,24.1y,7.4,2012,2
1048,31,4.4y,7.7,2012,2
1049,33,4.4y,8.9,2012,2
1050,32,6.1y,7.9,2012,2
1051,40,2.0y,8.4,2012,2
1052,10,2.1y,9.5,2012,2
1053,43,9295.6w,6.7,2012,2
1054,30,9905.3w,8.4,2012,2
1055,10,3757.8w,8.8,2012,2
1056,34,1.0y,,2012,2
1057,42,1.4y,7.4,2012,2
1058,30,1343.5w,,2012,2
1059,10,1144.5w,8.6,2012,2
1060,12,490.7w,9.3,2012,2
1061,10,882.3w,9,2012,2
1062,4,596.2w,8.9,2012,2
1063,8,358.0w,8.7,2012,2
1064,12,643.8w,8.7,2012,2
1065,6,471.5w,9.1,2012,2
1066,4,238.1w,9.1,2012,2
1067,13,187.5w,8.6,2012,2
1068,13,193.5w,8.5,2012,2
1069,6,106.3w,8.6,2012,2
1070,2,112.5w,8.5,2012,2
1071,20,4338.8w,,2012,2
1072,,11.2w,8.6,2012,2
1073,,,7,2012,2
1074,,1.7w,7.6,2012,2
1075,86,17.3y,8.8,2011,2
1076,36,2.0y,7.6,2011,2
1077,35,5.5y,7.8,2011,2
1078,72,15.1y,9.1,2011,2
1079,46,2051.8w,7.5,2011,2
1080,10,3.8y,9.5,2011,2
1081,34,2.5y,8.7,2011,2
1082,33,5413.5w,8.4,2011,2
1083,37,1205.3w,7.4,2011,2
1084,10,4811.6w,8.7,2011,2
1085,12,484.6w,9.2,2011,2
1086,8,476.2w,8.3,2011,2
1087,1,157.3w,8.7,2011,2
1088,12,749.0w,8.8,2011,2
1089,13,191.5w,8.7,2011,2
1090,,3.4w,7.8,2011,2
1091,24,1854.6w,7.6,2021,3
1092,61,5599.0w,7.7,2021,3
1093,30,1309.3w,7.6,2021,3
1094,34,1.8y,7.7,2021,3
1095,40,2343.7w,7.6,2021,3
1096,50,1053.0w,7.6,2021,3
1097,12,766.1w,7.6,2021,3
1098,60,3110.2w,7.6,2021,3
1099,27,2.5y,7.6,2021,3
1100,50,4958.4w,7.5,2021,3
1101,50,250.4w,7.5,2021,3
1102,50,550.6w,7.5,2021,3
1103,50,4781.6w,7.6,2021,3
1104,57,530.5w,7.5,2021,3
1105,51,3250.5w,7.5,2021,3
1106,36,1.2y,7.5,2021,3
1107,50,743.2w,7.6,2021,3
1108,24,5834.2w,7.5,2021,3
1109,53,353.0w,7.5,2021,3
1110,16,623.1w,7.5,2021,3
1111,51,371.2w,7.5,2021,3
1112,51,349.0w,7.5,2021,3
1113,51,2315.5w,7.5,2021,3
1114,50,556.2w,7.5,2021,3
1115,52,646.8w,7.5,2021,3
1116,60,1031.7w,7.5,2021,3
1117,50,1483.5w,7.5,2021,3
1118,32,629.6w,7.6,2021,3
1119,55,1940.2w,7.5,2021,3
1120,50,356.2w,7.5,2021,3
1121,50,1033.7w,7.5,2021,3
1122,50,207.4w,7.4,2021,3
1123,50,746.7w,7.4,2021,3
1124,50,268.7w,7.4,2021,3
1125,50,777.2w,7.4,2021,3
1126,132,3.3y,7.4,2021,3
1127,50,428.2w,7.4,2021,3
1128,14,4998.0w,7.5,2021,3
1129,50,270.1w,7.4,2021,3
1130,50,330.3w,7.4,2021,3
1131,50,683.6w,7.4,2021,3
1132,50,317.6w,7.4,2021,3
1133,53,253.6w,7.4,2021,3
1134,51,342.5w,7.4,2021,3
1135,52,412.1w,7.4,2021,3
1136,54,554.3w,7.4,2021,3
1137,50,2833.6w,7.4,2021,3
1138,50,625.6w,7.4,2021,3
1139,50,135.9w,7.4,2021,3
1140,50,218.2w,7.4,2021,3
1141,50,159.6w,7.4,2021,3
1142,50,191.7w,7.4,2021,3
1143,50,317.0w,7.4,2021,3
1144,21,99.5w,7.4,2021,3
1145,50,170.2w,7.4,2021,3
1146,60,61.2w,7.3,2021,3
1147,51,277.2w,7.4,2021,3
1148,50,106.1w,7.4,2021,3
1149,50,89.5w,7.3,2021,3
1150,50,421.9w,7.4,2021,3
1151,15,41.4w,7.3,2021,3
1152,50,96.9w,7.3,2021,3
1153,50,342.3w,7.4,2021,3
1154,50,194.3w,7.4,2021,3
1155,50,2313.2w,7.4,2021,3
1156,50,110.2w,7.4,2021,3
1157,55,139.8w,7.4,2021,3
1158,50,109.1w,7.4,2021,3
1159,51,109.3w,7.3,2021,3
1160,50,79.3w,7.3,2021,3
1161,54,57.8w,7.3,2021,3
1162,50,89.1w,7.3,2021,3
1163,53,68.7w,7.4,2021,3
1164,50,177.3w,7.4,2021,3
1165,50,109.7w,7.4,2021,3
1166,50,260.5w,7.4,2021,3
1167,50,78.7w,7.3,2021,3
1168,50,238.6w,7.5,2021,3
1169,50,79.0w,7.4,2021,3
1170,50,127.6w,7.4,2021,3
1171,51,80.4w,7.4,2021,3
1172,50,101.9w,7.4,2021,3
1173,22,67.1w,7.4,2021,3
1174,53,40.0w,7.3,2021,3
1175,50,143.2w,7.3,2021,3
1176,50,134.5w,7.3,2021,3
1177,50,46.2w,7.3,2021,3
1178,63,45.2w,7.3,2021,3
1179,16,97.7w,7.3,2021,3
1180,51,204.1w,7.4,2021,3
1181,50,173.3w,7.3,2021,3
1182,50,152.1w,7.3,2021,3
1183,50,116.2w,7.3,2021,3
1184,50,99.1w,7.4,2021,3
1185,50,104.3w,7.4,2021,3
1186,15,32.2w,7.3,2021,3
1187,50,69.0w,7.3,2021,3
1188,50,22.1w,7.3,2021,3
1189,50,128.7w,7.3,2021,3
1190,50,64.7w,7.3,2021,3
1191,50,53.1w,7.3,2021,3
1192,50,182.5w,7.3,2021,3
1193,25,27.3w,7.3,2021,3
1194,50,31.6w,7.3,2021,3
1195,50,40.0w,7.3,2021,3
1196,50,32.4w,7.3,2021,3
1197,52,843.1w,7.3,2021,3
1198,50,14.7w,7.2,2021,3
1199,50,38.3w,7.3,2021,3
1200,51,15.2w,7.3,2021,3
1201,12,26.0w,7.3,2021,3
1202,15,36.9w,7.2,2021,3
1203,50,17.7w,7.2,2021,3
1204,50,34.1w,7.2,2021,3
1205,25,69.3w,7.2,2021,3
1206,15,4.6w,7.2,2021,3
1207,1,3083.9w,7.1,2021,3
1208,17,5103,7.1,2021,3
1209,12,33.0w,7.1,2021,3
1210,10,3553,7.1,2021,3
1211,50,2266.5w,7.6,2020,3
1212,72,4.0y,7.6,2020,3
1213,60,1632.1w,7.6,2020,3
1214,16,7278.8w,7.4,2020,3
1215,23,148.5w,7.4,2020,3
1216,52,68.6w,7.4,2020,3
1217,18,2360.6w,7.4,2020,3
1218,28,66.0w,7.3,2020,3
1219,62,2.2y,7.3,2020,3
1220,24,7656.7w,7.3,2020,3
1221,11,327.5w,7.4,2020,3
1222,50,944.4w,7.3,2020,3
1223,29,4617.2w,7.3,2020,3
1224,12,1667.2w,7.3,2020,3
1225,8,35.8w,7.3,2020,3
1226,60,5095.9w,7.3,2020,3
1227,53,148.5w,7.3,2020,3
1228,25,20.7w,7.3,2020,3
1229,50,10.5w,7.2,2020,3
1230,10,2747.8w,7.2,2020,3
1231,50,7.8w,7.2,2020,3
1232,25,12.1w,7.2,2020,3
1233,52,3.9y,7.5,2019,3
1234,12,4162.7w,7.3,2019,3
1235,12,6855.6w,9.7,2019,3
1236,12,2118.9w,,2019,3
1237,12,1659.3w,7.2,2019,3
1238,14,452.4w,7.2,2019,3
1239,12,1855.4w,7.2,2019,3
1240,36,3013.9w,7.1,2019,3
1241,19,2446.6w,7.2,2019,3
1242,26,1355.8w,7.2,2019,3
1243,26,2508.6w,7.1,2019,3
1244,5,195.3w,7.1,2019,3
1245,7,433.2w,7.1,2019,3
1246,12,1144.3w,7.1,2019,3
1247,20,3064.4w,8.2,2018,3
1248,48,3009.8w,7.2,2018,3
1249,10,2578.4w,7.2,2018,3
1250,4,614.6w,,2018,3
1251,26,7582.1w,7.2,2018,3
1252,25,281.2w,7.1,2018,3
1253,13,1016.0w,7.1,2018,3
1254,12,322.8w,7.1,2018,3
1255,18,382.0w,7.1,2018,3
1256,6,245.5w,7.1,2018,3
1257,10,396.9w,7.1,2018,3
1258,17,400.1w,7.1,2018,3
1259,12,197.5w,7,2018,3
1260,6,78.0w,7,2018,3
1261,4,166.1w,6.9,2018,3
1262,9,769.0w,7.1,2015,3
1263,45,50.3y,7.7,2021,4
1264,32,7.4y,7.6,2021,4
1265,45,3.5y,7.7,2021,4
1266,61,7.1y,7.6,2021,4
1267,24,26.6y,8.7,2020,4
1268,30,12.6y,7.6,2020,4
1269,48,31.1y,7.6,2020,4
1270,,3589.7w,7.3,2020,4
1271,58,32.3y,8.1,2019,4
1272,56,23.0y,7.9,2019,4
1273,41,15.6y,7.2,2019,4
1274,72,12.6y,6.2,2019,4
1275,78,136.3y,8.8,2018,4
1276,36,34.7y,7.5,2018,4
1277,30,40.4y,8.1,2018,4
1278,21,11.1y,7.4,2018,4
1279,39,1.9y,7.5,2018,4
1280,32,6.3y,6.4,2018,4
1281,36,7.9y,7.5,2018,4
1282,28,4.5y,7.4,2018,4
1283,36,3.6y,7.4,2018,4
1284,,55.4y,8.8,2018,4
1285,,1346.2w,7.2,2018,4
1286,60,73.7y,8.4,2017,4
1287,75,38.4y,8.3,2017,4
1288,32,16.5y,8.1,2017,4
1289,56,35.3y,7.6,2017,4
1290,72,23.5y,6.5,2017,4
1291,24,59.6y,7.9,2017,4
1292,40,2.1y,7.9,2017,4
1293,78,1.4y,6.3,2017,4
1294,22,5.7y,6.4,2017,4
1295,,6902.3w,7.3,2017,4
1296,,6625.5w,7.2,2017,4
1297,,838.6w,7.2,2017,4
1298,,2948.6w,7.2,2017,4
1299,54,86.7y,7.2,2016,4
1300,40,16.4y,7.3,2016,4
1301,8,2036.2w,8.4,2016,4
1302,,864.3w,8.4,2016,4
1303,,223.2w,7.4,2016,4
1304,54,66.0y,9.6,2015,4
1305,81,147.9y,7.7,2015,4
1306,82,2.0y,7.3,2015,4
1307,96,44.7y,7.4,2014,4
1308,86,1.2y,7.3,2014,4
1309,82,4.4y,7.2,2014,4
1310,59,18.9y,8.3,2013,4
1311,46,22.4y,8.3,2013,4
1312,31,2841.0w,,2013,4
1313,45,2.2y,8.2,2013,4
1314,30,2.2y,8.8,2012,4
1315,35,5.5y,7.8,2011,4
1316,46,2051.3w,7.5,2011,4
1317,33,1.1y,7.7,2021,5
1318,34,1.4y,7.7,2021,5
1319,49,5.2y,7.6,2021,5
1320,43,1.5y,7.6,2021,5
1321,32,1.0y,7.6,2021,5
1322,36,2387.6w,7.5,2021,5
1323,40,3973.3w,7.5,2021,5
1324,47,5.3y,7.6,2020,5
1325,40,2.4y,7.6,2020,5
1326,30,9581.7w,7.5,2020,5
1327,20,9872.6w,7.6,2020,5
1328,43,5.2y,7.5,2020,5
1329,40,4.6y,7.6,2019,5
1330,50,8.4y,8.3,2019,5
1331,38,2.8y,8.6,2019,5
1332,40,8.0y,,2019,5
1333,48,3.4y,7.5,2019,5
1334,50,23.9y,7.1,2019,5
1335,50,16.1y,8.2,2019,5
1336,36,3.4y,7.3,2019,5
1337,30,2.5y,7.5,2019,5
1338,25,2.0y,7.5,2019,5
1339,38,1.2y,7.5,2019,5
1340,46,1.5y,,2019,5
1341,43,3.9y,7.4,2019,5
1342,28,4991.8w,,2019,5
1343,15,6033.1w,7.4,2019,5
1344,48,4995.3w,8.1,2019,5
1345,10,4955.5w,7.9,2019,5
1346,,468.5w,7.2,2019,5
1347,39,3.9y,7.6,2018,5
1348,40,13.8y,,2018,5
1349,38,11.0y,,2018,5
1350,45,33.7y,6.4,2018,5
1351,39,9428.3w,7.6,2018,5
1352,50,10.2y,7.7,2018,5
1353,40,3.2y,8,2018,5
1354,48,11.8y,7.5,2018,5
1355,48,2.2y,7.5,2018,5
1356,52,2.0y,8.4,2018,5
1357,46,1.5y,6.3,2018,5
1358,37,3.4y,7.4,2018,5
1359,50,6393.9w,7.6,2018,5
1360,50,5.8y,,2017,5
1361,50,12.6y,6.7,2017,5
1362,40,2.6y,7.6,2017,5
1363,50,16.5y,,2017,5
1364,28,6.3y,7.9,2017,5
1365,40,9.7y,,2017,5
1366,30,5.8y,7.5,2017,5
1367,49,26.3y,7.1,2017,5
1368,35,21.7y,6.6,2017,5
1369,32,10.4y,7.6,2017,5
1370,34,10.6y,7.5,2017,5
1371,21,3.4y,7.5,2017,5
1372,40,4.6y,,2017,5
1373,42,5127.8w,7.5,2017,5
1374,39,4.8y,,2017,5
1375,46,5.5y,7.5,2017,5
1376,38,5.0y,6.6,2017,5
1377,38,5.4y,,2017,5
1378,33,8.6y,,2017,5
1379,32,4.9y,8.6,2017,5
1380,42,2.1y,,2017,5
1381,36,2.7y,,2017,5
1382,44,11.0y,7.5,2017,5
1383,41,4.5y,,2017,5
1384,39,4.5y,,2017,5
1385,21,1.8y,7.4,2017,5
1386,46,4.9y,7.7,2017,5
1387,40,6602.3w,7.4,2017,5
1388,40,3.5y,,2017,5
1389,29,2.8y,7.4,2017,5
1390,40,12.3y,6.9,2016,5
1391,42,4.7y,6.4,2016,5
1392,45,20.5y,,2016,5
1393,38,6.7y,7.1,2016,5
1394,66,17.8y,8.4,2016,5
1395,42,8208.0w,7.5,2016,5
1396,35,3.9y,8.3,2016,5
1397,43,27.2y,6.6,2016,5
1398,52,3.3y,8.7,2016,5
1399,40,5.3y,,2016,5
1400,42,10.8y,6.8,2016,5
1401,43,5.8y,6.8,2016,5
1402,36,3.6y,8.2,2016,5
1403,40,7.3y,,2016,5
1404,51,2.0y,,2016,5
1405,46,4.6y,,2016,5
1406,36,1.2y,,2016,5
1407,34,2.1y,7.4,2016,5
1408,43,7.3y,7.2,2016,5
1409,40,10.8y,7.4,2016,5
1410,29,2.3y,6.6,2016,5
1411,50,3.0y,,2016,5
1412,36,1.4y,7.5,2016,5
1413,44,5.4y,,2016,5
1414,40,2.7y,,2016,5
1415,43,8.0y,6.3,2016,5
1416,40,4.1y,,2016,5
1417,34,8330.1w,,2016,5
1418,34,1.3y,7.5,2016,5
1419,3,8911.6w,8.9,2016,5
1420,39,7.7y,,2015,5
1421,41,6.1y,,2015,5
1422,38,7.8y,7,2015,5
1423,33,13.2y,8.3,2015,5
1424,38,5.5y,8.9,2015,5
1425,46,5.8y,6.5,2015,5
1426,40,9.5y,6.5,2015,5
1427,36,5.4y,8.3,2015,5
1428,46,7.6y,8.1,2015,5
1429,47,9.6y,7.5,2015,5
1430,40,12.7y,7,2015,5
1431,34,2.3y,7,2015,5
1432,46,1.0y,6.5,2015,5
1433,42,8.8y,8.1,2015,5
1434,34,5.9y,,2015,5
1435,36,7.5y,6.5,2015,5
1436,30,5.6y,6.3,2015,5
1437,40,4.4y,6.7,2015,5
1438,34,4.5y,6.5,2015,5
1439,40,5.2y,,2015,5
1440,43,3.8y,7.2,2015,5
1441,45,5.2y,6.8,2015,5
1442,40,6.4y,7.1,2015,5
1443,35,1.4y,,2015,5
1444,40,3.0y,7.9,2015,5
1445,34,3.3y,6.3,2015,5
1446,42,3.6y,7.5,2015,5
1447,45,8.5y,6.8,2015,5
1448,41,9.6y,8.8,2015,5
1449,35,2.8y,7.5,2015,5
1450,43,7.4y,7,2014,5
1451,36,19.0y,8.2,2014,5
1452,36,8.7y,7.5,2014,5
1453,46,6.3y,7.9,2014,5
1454,35,1.3y,,2014,5
1455,36,2.7y,6.4,2014,5
1456,40,3.2y,,2014,5
1457,34,5.2y,,2014,5
1458,39,4.3y,,2014,5
1459,48,3.3y,9,2014,5
1460,34,3.6y,7.5,2014,5
1461,35,3.5y,,2014,5
1462,28,2.5y,6.4,2014,5
1463,37,2.9y,,2014,5
1464,38,1.5y,,2014,5
1465,38,4.2y,7.3,2014,5
1466,40,4.2y,7.4,2014,5
1467,36,1.6y,7.9,2014,5
1468,37,5.1y,7.6,2014,5
1469,46,3.4y,8.5,2014,5
1470,38,3.1y,8.4,2014,5
1471,30,1.6y,,2014,5
1472,33,1.2y,8.3,2014,5
1473,40,3.1y,,2014,5
1474,32,2.3y,,2014,5
1475,30,8627.0w,7.4,2014,5
1476,36,1.2y,8.2,2014,5
1477,45,4.0y,6.7,2014,5
1478,35,9293.0w,,2014,5
1479,35,1453.2w,7,2014,5
1480,35,2435.9w,7.4,2014,5
1481,40,3746.9w,8.7,2014,5
1482,42,3632.6w,8.8,2014,5
1483,30,2247.9w,,2014,5
1484,36,683.2w,7.3,2014,5
1485,,665.5w,7.2,2014,5
1486,1,621.6w,8.1,2014,5
1487,,2138.7w,8.2,2014,5
1488,62,23.1y,,2013,5
1489,43,9.8y,,2013,5
1490,36,2.7y,,2013,5
1491,46,5.3y,7.3,2013,5
1492,36,3.5y,7,2013,5
1493,30,3.7y,6.1,2013,5
1494,33,1.6y,6.8,2013,5
1495,35,4.4y,,2013,5
1496,30,2.8y,8.1,2013,5
1497,32,1.9y,6.1,2013,5
1498,30,5095.8w,6.6,2013,5
1499,30,2.4y,7.7,2013,5
1500,43,3.0y,,2013,5
1501,40,2.3y,7.8,2013,5
1502,52,4.7y,7.5,2013,5
1503,33,3822.4w,7.4,2013,5
1504,35,2.3y,,2013,5
1505,45,9421.8w,6.3,2013,5
1506,43,3.3y,7.5,2013,5
1507,41,2.0y,8.4,2013,5
1508,40,8809.4w,,2013,5
1509,30,7260.5w,,2013,5
1510,40,3.8y,,2013,5
1511,26,1.0y,,2013,5
1512,34,1.9y,,2013,5
1513,36,1.5y,,2013,5
1514,33,2396.8w,,2013,5
1515,36,1.1y,,2013,5
1516,32,1009.5w,7.5,2013,5
1517,36,3831.4w,7.5,2013,5
1518,34,3.4y,,2012,5
1519,41,1.4y,9,2012,5
1520,40,3.2y,6.6,2012,5
1521,30,1.2y,7.6,2012,5
1522,32,2.3y,7.6,2012,5
1523,32,1.2y,,2012,5
1524,37,6081.8w,7.4,2012,5
1525,43,8.9y,8.1,2012,5
1526,33,4.4y,8.9,2012,5
1527,40,2.0y,8.4,2012,5
1528,32,1.1y,,2012,5
1529,35,3.0y,8.3,2012,5
1530,22,3023.9w,7.5,2012,5
1531,32,2977.1w,7.5,2012,5
1532,32,6331.8w,,2012,5
1533,27,2.0y,,2012,5
1534,31,9374.9w,7.5,2012,5
1535,30,1.1y,7.5,2012,5
1536,36,9204.1w,,2012,5
1537,33,5297.8w,,2012,5
1538,38,5009.4w,7.1,2012,5
1539,38,1.7y,7.7,2012,5
1540,31,2.7y,7.2,2012,5
1541,30,5510.0w,,2012,5
1542,26,4411.9w,6.9,2012,5
1543,28,616.9w,7.4,2012,5
1544,30,7856.9w,7.5,2012,5
1545,40,7914.6w,7.2,2012,5
1546,29,6276.6w,8.8,2012,5
1547,29,9115.4w,,2012,5
