status,play number,score,year,topic
55,1.5y,8.2,2018,1
,1.7y,,2018,1
40,5.5y,7.8,2017,1
40,12.9y,7.8,2017,1
20,2.2y,7.4,2017,1
49,12.1y,6.3,2017,1
45,4.4y,6.4,2017,1
40,2.2y,6.9,2017,1
56,13.4y,7.1,2017,1
55,8.6y,,2017,1
38,2.6y,,2017,1
35,5.0y,,2017,1
34,44.1y,7.5,2017,1
56,4.9y,6.5,2017,1
32,5943.9w,,2017,1
39,34.4y,,2017,1
42,5.4y,,2017,1
52,7.1y,7.5,2017,1
43,39.9y,,2017,1
45,1.5y,,2017,1
45,10.8y,7.3,2017,1
36,2.1y,7.4,2017,1
42,6.3y,,2017,1
46,4.5y,,2017,1
44,9.5y,,2017,1
46,6.6y,6.3,2017,1
40,8266.9w,8,2017,1
42,30.9y,7.1,2017,1
48,2.0y,,2017,1
43,1.7y,7,2017,1
52,1.0y,6.9,2017,1
48,14.8y,7.1,2017,1
38,26.2y,6.6,2017,1
20,4.9y,8,2017,1
42,82.2y,8,2017,1
36,7.2y,6.1,2017,1
,2.5y,7.3,2017,1
55,116.3y,7.6,2017,1
,1.4y,7.2,2017,1
44,39.2y,8.6,2017,1
37,2.1y,,2017,1
12,2257.4w,,2017,1
12,983.8w,7.1,2017,1
48,3.3y,,2017,1
56,2.0y,7,2017,1
7,2823.2w,9,2017,1
54,5.0y,,2017,1
46,42.0y,7.2,2017,1
42,3989.3w,7.4,2017,1
43,5.0y,,2017,1
47,26.5y,7.1,2017,1
,2476.2w,7.2,2017,1
,5334.2w,7.2,2017,1
48,1.9y,6,2016,1
42,1.3y,7.1,2016,1
43,9255.5w,,2016,1
44,4.8y,6.3,2016,1
48,7075.8w,,2016,1
40,2.0y,,2016,1
54,5.9y,6.8,2016,1
44,6.9y,,2016,1
44,3.8y,7.4,2016,1
42,4.6y,,2016,1
55,4.9y,,2016,1
15,1.1y,7.1,2016,1
38,3.5y,,2016,1
35,1.4y,7.2,2016,1
38,21.3y,7,2016,1
44,17.1y,7.9,2016,1
44,1.0y,7.7,2016,1
41,5.1y,8.4,2016,1
36,1.4y,7.4,2016,1
16,3185.6w,7.4,2016,1
19,1667.5w,7.2,2016,1
50,2.3y,7.5,2016,1
45,4.1y,,2016,1
13,2666.9w,,2016,1
30,5485.3w,7.3,2016,1
42,6.3y,7.5,2016,1
36,5.1y,7.4,2016,1
58,42.6y,7.5,2016,1
58,1.2y,7.3,2016,1
48,2.2y,7,2016,1
33,1.2y,,2016,1
44,2.1y,7.2,2016,1
61,9.7y,7.6,2016,1
30,1.0y,7.8,2016,1
38,8.2y,7.5,2016,1
16,8444.8w,9.4,2016,1
48,2.9y,6.6,2016,1
50,2.8y,6.6,2016,1
33,7006.4w,,2016,1
37,2.1y,6.7,2016,1
38,7.4y,7.6,2016,1
42,8.6y,8,2016,1
10,7135.1w,7.6,2016,1
36,9.9y,8.4,2016,1
12,5.7y,8.5,2016,1
42,1.8y,7.9,2016,1
16,4072.9w,9,2016,1
21,689.2w,7.2,2016,1
45,36.4y,8.7,2016,1
32,5698.7w,7.3,2016,1
41,24.8y,7.9,2016,1
40,4.0y,7.5,2016,1
45,4.0y,7.3,2016,1
42,70.3y,8.6,2016,1
42,2.7y,7.7,2016,1
42,6.9y,7.9,2016,1
28,2.5y,7.5,2016,1
40,2.1y,8.6,2016,1
71,15.5y,7.1,2016,1
69,5732.7w,6.8,2016,1
40,9623.6w,6.8,2016,1
36,14.0y,8.6,2016,1
36,2.2y,7.2,2016,1
35,6.8y,7.1,2015,1
35,7570.3w,8.1,2015,1
36,8139.8w,,2015,1
40,1.9y,,2015,1
5,568.7w,7.1,2015,1
40,1.9y,,2015,1
25,1664.6w,7.1,2015,1
40,2.4y,6.1,2015,1
28,7119.6w,7.3,2015,1
44,7.7y,8.2,2015,1
36,2.3y,7.5,2015,1
44,1.7y,6.9,2015,1
42,4.5y,6.9,2015,1
32,1.2y,7.8,2015,1
38,3.8y,,2015,1
37,2.7y,6.6,2015,1
35,6.6y,8.8,2015,1
32,3.5y,8.3,2015,1
40,8222.0w,7,2015,1
42,2.5y,6.7,2015,1
54,6.6y,,2015,1
13,30.3w,7.1,2015,1
44,27.1y,7.6,2015,1
10,2495.3w,7.1,2015,1
42,1.3y,7.4,2015,1
40,7.6y,7.8,2015,1
32,5.1y,7.6,2015,1
39,1.6y,7.2,2015,1
40,2.3y,7.9,2015,1
39,11.7y,,2015,1
35,1.3y,,2015,1
34,3.7y,7.5,2015,1
38,10.8y,7.4,2015,1
38,1.6y,,2015,1
32,3482.2w,,2015,1
40,3539.7w,,2015,1
40,2.2y,,2015,1
38,1.5y,,2015,1
42,2.0y,7.8,2015,1
31,8005.1w,,2015,1
40,3.5y,,2015,1
41,2.0y,,2015,1
40,5.4y,,2015,1
30,3.4y,7.9,2015,1
30,4575.5w,,2015,1
36,1.0y,7.3,2015,1
38,8.6y,8.6,2015,1
,328.2w,7.6,2015,1
,1182.2w,7.8,2015,1
,2688.5w,7.4,2015,1
,530.6w,8.6,2015,1
,1012.2w,7.4,2015,1
,6897.3w,7.4,2015,1
,199.6w,7.3,2015,1
54,3402.5w,7.4,2014,1
55,6.4y,,2014,1
37,8300.3w,,2014,1
32,2.1y,6.6,2014,1
24,2157.4w,7.3,2014,1
37,2.2y,6.4,2014,1
30,1010.4w,7.3,2014,1
10,1221.1w,,2014,1
35,1.1y,6.7,2014,1
36,3.0y,,2014,1
32,1.4y,8.2,2014,1
30,2.3y,8,2014,1
35,1260.0w,6,2014,1
34,3567.2w,,2014,1
46,9848.3w,7.4,2014,1
36,8351.4w,,2014,1
75,9584.1w,6,2014,1
68,13.1y,6.1,2014,1
36,5683.0w,,2014,1
36,2458.0w,,2014,1
,352.0w,7.2,2014,1
38,1.0y,7.4,2014,1
40,2601.1w,7.7,2014,1
38,3.4y,7.9,2014,1
49,3.6y,,2014,1
32,8795.4w,6.7,2014,1
32,9059.0w,7.6,2014,1
35,1.1y,,2014,1
38,2.0y,8.2,2014,1
10,445.7w,8.7,2014,1
36,2101.7w,,2014,1
6,270.4w,9.2,2014,1
42,2.0y,,2014,1
72,7.5y,,2014,1
36,2.5y,,2014,1
35,2.3y,,2014,1
27,1406.5w,7.7,2014,1
6,521.4w,9.1,2014,1
44,2.1y,,2014,1
46,30.9y,8.4,2014,1
30,1.7y,,2014,1
42,11.7y,,2014,1
34,2.2y,,2014,1
30,7624.4w,,2014,1
52,2.7y,,2014,1
35,4.0y,8.1,2014,1
60,6.9y,,2014,1
30,1.5y,8.3,2014,1
41,1.8y,7.6,2014,1
35,3.6y,7.6,2014,1
,5.2w,7.8,2014,1
,5233.9w,8.1,2014,1
,1.1w,7.6,2014,1
,9.5w,7.9,2014,1
,7506.8w,7.8,2014,1
48,2907.7w,9,2013,1
33,6790.5w,6.8,2013,1
30,1598.3w,7.3,2013,1
35,258.6w,7.2,2013,1
35,1273.8w,7.3,2013,1
34,1.1y,7.5,2013,1
32,1297.7w,,2013,1
19,690.8w,,2013,1
38,1.9y,,2013,1
30,288.0w,,2013,1
30,1.6y,7.6,2013,1
32,1.6y,8.7,2013,1
42,1.6y,7.5,2013,1
30,2634.9w,,2013,1
9,280.0w,9.1,2013,1
30,9582.8w,,2013,1
6,456.1w,8.4,2013,1
48,2.3y,8.7,2013,1
33,2922.7w,,2013,1
15,455.4w,8.2,2013,1
44,1.3y,,2013,1
40,6860.5w,,2013,1
80,1.1y,6.5,2013,1
108,17.8y,6.6,2013,1
38,18.1y,8.1,2013,1
40,2.1y,8.6,2013,1
38,4774.8w,8.6,2013,1
36,7990.7w,,2013,1
,3.6w,8.4,2013,1
,1.0w,8.3,2013,1
41,115.3w,7.8,2012,1
28,262.5w,7.7,2012,1
34,755.2w,8.8,2012,1
35,2984.2w,7.4,2012,1
36,4671.5w,7.4,2012,1
36,5311.0w,,2012,1
34,8298.3w,,2012,1
30,1374.0w,,2012,1
21,39.1w,7.2,2012,1
60,112.0w,7.2,2012,1
43,671.2w,,2012,1
43,1.1y,,2012,1
30,1898.3w,,2012,1
42,1.4y,7.4,2012,1
24,2453.7w,7.4,2012,1
35,1.8y,7.5,2012,1
20,1730.1w,8.5,2012,1
20,521.1w,,2012,1
25,422.8w,7.2,2012,1
33,3.2y,6.8,2012,1
35,472.3w,8.5,2012,1
33,3460.3w,,2012,1
35,4144.2w,,2012,1
35,3.7y,,2012,1
34,1.6y,7.4,2012,1
31,1251.0w,7.4,2012,1
34,3373.0w,7.2,2012,1
35,1.1y,,2012,1
29,970.2w,,2012,1
34,2.0y,,2012,1
40,4298.5w,7.4,2012,1
6,106.3w,8.6,2012,1
65,9222.1w,6.4,2012,1
31,9555.2w,,2012,1
30,2436.8w,7.6,2012,1
6,184.4w,7.1,2012,1
32,4472.3w,,2012,1
30,7628.4w,7.2,2012,1
,624.4w,7.1,2012,1
32,2151.8w,7.4,2011,1
30,54.7w,8.2,2011,1
37,2430.8w,8.8,2011,1
33,1081.1w,7.4,2011,1
29,541.0w,,2011,1
29,237.5w,,2011,1
21,2917.5w,7.3,2011,1
30,1.1y,,2011,1
28,187.1w,7.2,2011,1
21,53.7w,7.2,2011,1
36,1139.7w,8.6,2011,1
37,1004.2w,8,2011,1
33,2587.8w,7,2011,1
24,2631.8w,7.4,2011,1
32,3718.7w,8.1,2011,1
20,253.4w,,2011,1
28,1677.3w,,2011,1
28,152.0w,7.2,2011,1
40,1439.0w,,2011,1
40,1188.4w,,2011,1
20,1240.0w,7.4,2011,1
27,904.2w,7.3,2011,1
25,1121.0w,,2011,1
30,3869.1w,7.8,2011,1
37,3974.2w,8.4,2011,1
35,946.3w,,2011,1
30,1234.7w,7.3,2011,1
28,1521.7w,7.3,2011,1
25,4999.0w,7.6,2011,1
16,456.6w,,2011,1
14,6.3y,7.8,2021,2
32,40.5y,7.7,2021,2
28,53.0y,9,2021,2
36,24.3y,9.3,2021,2
45,50.3y,7.7,2021,2
40,56.0y,7.5,2021,2
49,32.9y,7.7,2021,2
32,7.4y,7.6,2021,2
,221.2w,7.2,2021,2
43,76.0y,8.9,2020,2
43,25.1y,7.6,2020,2
51,55.5y,8.4,2020,2
53,80.5y,8.1,2020,2
30,12.6y,7.6,2020,2
56,84.6y,7.9,2020,2
18,27.4y,9,2020,2
34,15.7y,7.6,2020,2
36,19.5y,8.9,2020,2
48,31.1y,7.6,2020,2
32,6.4y,7.6,2020,2
31,10.3y,7.6,2020,2
34,10.7y,7.6,2020,2
24,4.9y,7.5,2020,2
35,10.3y,7.5,2020,2
24,3.4y,7.5,2020,2
40,2.0y,7.5,2020,2
,1.3y,8.9,2020,2
36,3186.5w,7.4,2020,2
6,389.2w,7.4,2020,2
,1042.7w,7.3,2020,2
,6393.8w,7.3,2020,2
24,5023.8w,7.3,2020,2
36,127.8w,7.3,2020,2
,3258.0w,7.2,2020,2
,1028.0w,7.2,2020,2
,73.5w,7.1,2020,2
,40.0w,7.1,2020,2
,178.0w,7.1,2020,2
,1150.8w,7.3,2020,2
,3323.8w,7.3,2020,2
,1257.1w,7.3,2020,2
,1699.7w,7.3,2020,2
,294.6w,7.2,2020,2
,332.8w,7.1,2020,2
,71.1w,7.1,2020,2
,38.8w,7,2020,2
,2.7w,6.8,2020,2
50,99.2y,9.1,2019,2
40,40.2y,8.6,2019,2
50,70.9y,7.8,2019,2
21,38.9y,8.5,2019,2
24,31.3y,8.9,2019,2
40,41.4y,7.7,2019,2
46,16.5y,8.6,2019,2
40,14.7y,7.5,2019,2
24,11.6y,8.1,2019,2
56,24.3y,7.1,2019,2
32,20.1y,8,2019,2
28,14.6y,8.3,2019,2
36,20.9y,8,2019,2
30,13.7y,8.3,2019,2
24,7.2y,7.4,2019,2
41,15.6y,7.2,2019,2
32,6.8y,8.4,2019,2
24,6.0y,8,2019,2
5,7.0y,9.3,2019,2
24,3.0y,7.5,2019,2
39,1.7y,8.5,2019,2
26,6.0y,7.5,2019,2
24,3.7y,8,2019,2
23,1.6y,7.5,2019,2
24,2.1y,7.5,2019,2
30,5.7y,8.6,2019,2
24,6.7y,7.4,2019,2
5,9677.9w,9.5,2019,2
24,5.7y,8.1,2019,2
24,2.0y,8,2019,2
28,1.4y,7.4,2019,2
40,2.1y,7.9,2019,2
31,4.4y,7.8,2019,2
18,1.7y,8.4,2019,2
16,1.1y,7.4,2019,2
15,6033.1w,7.4,2019,2
30,1.3y,8.5,2019,2
38,1.5y,6.9,2019,2
24,2.0y,7.4,2019,2
24,2.6y,7.4,2019,2
22,1.1y,7.7,2019,2
10,4955.5w,7.9,2019,2
28,5367.3w,8.4,2019,2
20,1.0y,7.7,2019,2
12,2118.9w,,2019,2
24,1815.2w,7.3,2019,2
,449.7w,7.2,2019,2
36,3013.9w,7.1,2019,2
26,2508.6w,7.1,2019,2
,87.1w,7.1,2019,2
,1593.8w,7.1,2019,2
,2434.4w,7.2,2019,2
,348.0w,7.2,2019,2
,134.5w,7.2,2019,2
,168.6w,9.3,2019,2
,105.9w,7,2019,2
,189.5w,7.1,2019,2
,29.8w,6.8,2019,2
66,153.4y,7.2,2018,2
52,68.2y,8.2,2018,2
30,18.9y,7.9,2018,2
36,24.9y,7.8,2018,2
42,64.0y,7.2,2018,2
25,32.6y,8.4,2018,2
40,11.1y,8.1,2018,2
50,31.8y,8,2018,2
30,16.8y,8.5,2018,2
48,23.2y,8.6,2018,2
54,31.7y,8,2018,2
21,24.5y,7.5,2018,2
36,34.7y,7.5,2018,2
55,71.4y,8,2018,2
30,16.9y,8.6,2018,2
30,27.3y,8.3,2018,2
24,17.7y,8.6,2018,2
30,40.4y,8.1,2018,2
56,41.8y,7.9,2018,2
21,11.1y,7.4,2018,2
48,11.8y,7.5,2018,2
28,17.4y,6.7,2018,2
30,16.6y,8.3,2018,2
30,20.3y,8.9,2018,2
45,3.2y,7.1,2018,2
50,29.2y,7.8,2018,2
32,6.3y,6.4,2018,2
20,5.0y,7.5,2018,2
36,7.9y,7.5,2018,2
45,4.8y,8.2,2018,2
54,3.5y,7.5,2018,2
40,6.1y,7.8,2018,2
36,19.1y,8.2,2018,2
28,8.8y,7.5,2018,2
24,5.4y,7.7,2018,2
11,1.1y,,2018,2
24,3.6y,7.9,2018,2
40,3.7y,7.5,2018,2
28,4.5y,7.4,2018,2
38,7886.1w,7.4,2018,2
6,2.6y,8.5,2018,2
10,1.2y,9.2,2018,2
23,7.9y,8.4,2018,2
24,1.3y,7.2,2018,2
36,3.6y,7.4,2018,2
38,3.7y,7.4,2018,2
35,2.1y,7.4,2018,2
10,702.8w,8.7,2018,2
5,2.9y,8.5,2018,2
35,2.1y,7.4,2018,2
,1926.9w,7.4,2018,2
10,6935.5w,8.6,2018,2
54,2.7y,7.3,2018,2
20,1.6y,7.4,2018,2
10,1.3y,7.6,2018,2
,3.9y,7.3,2018,2
5,4262.1w,8.4,2018,2
24,2.5y,7.3,2018,2
5,3014.3w,8.7,2018,2
,5366.4w,8.3,2018,2
24,1.1y,7.3,2018,2
30,3511.8w,7.3,2018,2
20,1.7y,7.3,2018,2
20,9282.0w,7.3,2018,2
12,3.4y,7.3,2018,2
,6484.0w,7.3,2018,2
,1901.2w,7.2,2018,2
30,2755.0w,7.2,2018,2
8,1346.4w,7.3,2018,2
,5992.5w,7.6,2018,2
,363.7w,7.2,2018,2
,1896.7w,7.4,2018,2
12,322.8w,7.1,2018,2
,127.7w,8.1,2018,2
,112.1w,7.1,2018,2
,3371.5w,7.3,2018,2
,5287.4w,7.3,2018,2
,2725.3w,6.9,2018,2
,7.2y,7.7,2018,2
8,576.7w,7.1,2018,2
,2399.0w,7.2,2018,2
,2537.1w,7.6,2018,2
,2138.7w,7.5,2018,2
,117.4w,7.5,2018,2
,1078.3w,6.8,2018,2
,1198.0w,7.2,2018,2
,9896.6w,7.6,2018,2
,5561.6w,7.2,2018,2
,589.0w,6.8,2018,2
,1481.0w,7.2,2018,2
,1074.4w,7.2,2018,2
,2868.8w,7.2,2018,2
,1181.2w,7.1,2018,2
,3597.0w,7.1,2018,2
,4364.5w,7.1,2018,2
,3718.5w,7.1,2018,2
,97.3w,7,2018,2
40,8.0y,7.1,2018,2
,58.9w,7,2018,2
74,148.8y,8.5,2017,2
60,73.7y,8.4,2017,2
45,30.1y,6.9,2017,2
21,19.1y,8.2,2017,2
23,44.2y,8.5,2017,2
23,15.1y,8.2,2017,2
20,8.4y,8.4,2017,2
35,21.7y,6.6,2017,2
34,9.6y,7.5,2017,2
20,6.6y,8.4,2017,2
23,16.7y,7.3,2017,2
20,33.6y,7.4,2017,2
24,59.6y,7.9,2017,2
21,3.4y,7.5,2017,2
39,4.8y,,2017,2
48,19.0y,8.4,2017,2
34,44.1y,7.5,2017,2
48,21.0y,6.9,2017,2
20,12.7y,6.3,2017,2
23,15.2y,7.5,2017,2
30,23.4y,8.5,2017,2
54,22.5y,6.3,2017,2
66,32.1y,6.6,2017,2
30,15.0y,8.5,2017,2
30,24.1y,8.2,2017,2
20,7.2y,6.5,2017,2
32,10.5y,7.1,2017,2
40,12.9y,7.8,2017,2
7,7.1y,9.4,2017,2
20,4.9y,8,2017,2
12,3548.0w,,2017,2
21,1.8y,7.4,2017,2
42,16.3y,7.5,2017,2
20,3.4y,7.9,2017,2
20,1.6y,8,2017,2
40,4.4y,7,2017,2
29,4.4y,7.2,2017,2
29,2.8y,7.4,2017,2
12,1.7y,8.8,2017,2
22,5.7y,6.4,2017,2
32,5.4y,6.6,2017,2
9,2.4y,9.3,2017,2
16,1.8y,6.3,2017,2
19,2.2y,7.4,2017,2
18,6.1y,8,2017,2
36,2.1y,7.4,2017,2
25,3.5y,7.9,2017,2
18,2.3y,7.4,2017,2
54,1.2y,6.2,2017,2
3,6356.7w,8,2017,2
18,5.4y,8,2017,2
7,2823.3w,9,2017,2
5,9296.5w,7.3,2017,2
8,834.1w,7.4,2017,2
30,1959.5w,8.6,2017,2
,2.2y,7.3,2017,2
10,336.7w,9.1,2017,2
16,1.4y,8.1,2017,2
5,6548.4w,8.5,2017,2
24,8521.4w,7.3,2017,2
4,1050.6w,7.2,2017,2
12,6026.7w,8.4,2017,2
12,2257.4w,,2017,2
1,4308.7w,7.9,2017,2
16,2.7y,8.1,2017,2
22,4527.4w,7.2,2017,2
15,7400.5w,7.3,2017,2
20,2.2y,7.4,2017,2
16,2.6y,8.1,2017,2
,6619.8w,7.2,2017,2
,321.0w,7.2,2017,2
,4894.0w,7.2,2017,2
15,5324.7w,8.2,2017,2
,3745.1w,7.2,2017,2
15,4750.0w,7.2,2017,2
,527.9w,7.2,2017,2
12,3527.6w,7.2,2017,2
20,2196.9w,6.8,2017,2
,2017.7w,6,2017,2
12,983.8w,7.1,2017,2
,1.4y,7.4,2017,2
24,666.2w,7.1,2017,2
,5739.0w,7.3,2017,2
35,792.9w,7.2,2017,2
,6849.9w,7.2,2017,2
,3709.5w,7.2,2017,2
,176.3w,8.9,2017,2
,1.8y,7.2,2017,2
,2321.7w,7.1,2017,2
,1317.9w,8.9,2017,2
,81.6w,6.1,2017,2
,1228.4w,7.1,2017,2
,1.4y,7.1,2017,2
,133.7w,8,2017,2
,154.2w,8,2017,2
42,4.7y,6.4,2016,2
21,59.8y,8.9,2016,2
21,27.2y,8.4,2016,2
16,9.8y,8.8,2016,2
34,10.9y,9.3,2016,2
42,3.2y,7.5,2016,2
18,22.3y,7,2016,2
71,15.5y,7.1,2016,2
28,26.1y,7.3,2016,2
43,27.2y,6.6,2016,2
17,5.2y,7.5,2016,2
44,16.3y,8.9,2016,2
33,3.3y,8.5,2016,2
35,5.4y,6.6,2016,2
12,5.7y,8.5,2016,2
28,34.3y,8.6,2016,2
30,16.8y,7.7,2016,2
45,4.4y,,2016,2
40,16.4y,7.3,2016,2
16,4.3y,9.3,2016,2
10,3.5y,9.5,2016,2
43,8.0y,6.3,2016,2
40,9.8y,6.7,2016,2
45,4.0y,7.3,2016,2
